omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
65313.78125,10395.011137960251,0.979431,0.978723,0.255,0.25520000000000004,-0.18680411273367656,14.621882931738611,0.9470249291284375,0.24706779300078327,10395.010742,166340.515625,0.0,1000000.0,1.647,2816.0,1297.0,1.204,0.424,0.014,1.664,2816.0,1335.0,1.18,0.415,0.002,3.0
65999.851563,10504.202619582806,0.980652,0.9804502,0.254,0.25260000000000005,-0.171489211050133,14.472913905004598,0.9493364925817156,0.24503636165411513,10504.202148,168150.34375,0.0,1000000.0,1.648,2792.0,1298.0,1.198,0.424,0.01,1.667,2803.0,1335.0,1.181,0.416,0.002,3.0
66629.75,10604.454069477213,0.980804,0.9808592000000002,0.25,0.24939999999999998,-0.16786660167145448,14.28956741056273,0.9505120928241663,0.24209818590742005,10604.454102,169660.671875,0.0,1000000.0,1.647,2800.0,1297.0,1.198,0.424,0.007,1.664,2799.0,1335.0,1.177,0.416,0.002,3.0
67199.84375,10695.18730781551,0.981384,0.9814024000000001,0.246,0.247,-0.16305768590617992,14.152057539731334,0.9516171044669893,0.23994907212077982,10695.188477,171198.390625,0.0,1000000.0,1.647,2790.0,1296.0,1.198,0.424,0.02,1.664,2816.0,1334.0,1.172,0.416,0.004,3.0
67826.335938,10794.896636344167,0.982025,0.9816220000000001,0.242,0.24320000000000003,-0.16111433627438135,13.934333577581622,0.9527351757684572,0.23638408520339757,10794.896484,172764.234375,0.0,1000000.0,1.647,2790.0,1295.0,1.204,0.424,0.024,1.664,2816.0,1332.0,1.181,0.416,0.001,3.0
68498.554688,10901.883573245721,0.982147,0.9818906000000001,0.243,0.23959999999999998,-0.15873795226611315,13.728068771334524,0.9538409098177392,0.23301645677167854,10901.882813,174358.96875,0.0,1000000.0,1.648,2793.0,1296.0,1.2,0.424,0.002,1.667,2816.0,1337.0,1.181,0.416,0.001,3.0
69115.039063,11000.00010886589,0.98175,0.9820432,0.235,0.23600000000000002,-0.15738814428232495,13.521803965087429,0.9548219564502131,0.22961680719587468,11000.0,175983.4375,0.0,1000000.0,1.647,2794.0,1288.0,1.206,0.424,0.005,1.664,2793.0,1341.0,1.167,0.416,0.001,3.0
69742.726563,11099.899677207883,0.982147,0.9820738,0.232,0.2328,-0.1571175003003766,13.338457470645565,0.9555816148367866,0.22656726602128424,11099.899414,177638.453125,0.0,1000000.0,1.647,2794.0,1296.0,1.201,0.424,0.007,1.664,2801.0,1331.0,1.177,0.417,0.003,3.0
70381.914063,11201.629527395435,0.982147,0.9820738,0.228,0.22900000000000004,-0.1571175003003766,13.120733508495855,0.9564356690846787,0.2229344288103183,11201.628906,179135.9375,0.0,1000000.0,1.647,2793.0,1295.0,1.196,0.424,0.016,1.664,2816.0,1331.0,1.184,0.416,0.004,3.0
71032.929688,11305.241882144244,0.982178,0.9822263999999999,0.226,0.2268,-0.15576794409564296,12.99468279356707,0.957072501915977,0.22086404626659342,11305.241211,180851.0625,0.0,1000000.0,1.647,2792.0,1297.0,1.202,0.424,0.012,1.664,2801.0,1331.0,1.183,0.416,0.004,3.0
71621.804688,11398.964249257484,0.982147,0.9824096,0.224,0.22440000000000002,-0.15414804607249147,12.857172922735675,0.957778425522784,0.21860720430776515,11398.963867,182403.4375,0.0,1000000.0,1.647,2800.0,1297.0,1.205,0.424,0.007,1.664,2800.0,1337.0,1.174,0.417,0.003,3.0
72220.523438,11494.253297841784,0.982513,0.9827636000000001,0.224,0.22200000000000003,-0.15101874941290536,12.719663051904277,0.958645636408568,0.21638585277178277,11494.25293,183982.6875,0.0,1000000.0,1.647,2791.0,1295.0,1.202,0.424,0.013,1.664,2799.0,1327.0,1.181,0.417,0.004,3.0
