omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,clip_flags,input_dc_v,input_pp_v,input_rms_v,output_dc_v,output_pp_v,output_rms_v,valid_capture_count
103003.046875,16393.444063682455,0.890656,0.8906496,0.393,0.3916,-1.0058624561263394,22.437027257323038,0.8232270465484596,0.33993225767976265,0.0,1.647,1.204,0.424,1.641,1.077,0.378,3.0
103640.171875,16494.845656799876,0.891937,0.891559,0.39,0.38880000000000003,-0.996998231453191,22.27659907468641,0.8250171551636979,0.33797062618902085,0.0,1.647,1.215,0.424,1.641,1.085,0.378,3.0
104285.234375,16597.510542278094,0.89267,0.8927001999999999,0.386,0.3864,-0.9858873585412238,22.13908920385501,0.8268829691513331,0.3364196819562069,0.0,1.647,1.2,0.424,1.641,1.084,0.378,3.0
104925.492188,16699.41073807025,0.893402,0.8938048000000001,0.382,0.38420000000000004,-0.9751463475540157,22.01303848892623,0.828645163893822,0.33501375025276336,0.0,1.648,1.211,0.424,1.641,1.088,0.379,3.0
105547.585938,16798.420033449325,0.894836,0.8946898,0.381,0.38160000000000005,-0.9665502769177483,21.864069462192216,0.8303347397713698,0.3331877220919933,0.0,1.647,1.204,0.424,1.641,1.085,0.379,3.0
106177.085938,16898.608070125672,0.896179,0.8958678,0.382,0.37960000000000005,-0.9551214577947386,21.749477903166053,0.83209359573329,0.33196289403558965,0.0,1.647,1.204,0.424,1.641,1.089,0.38,3.0
106814.15625,17000.00095937757,0.896362,0.8969725999999999,0.377,0.3778,-0.9444164646600338,21.646345500042504,0.8337166683788472,0.33087212336193444,0.0,1.647,1.201,0.424,1.641,1.092,0.38,3.0
107458.90625,17102.61610893607,0.89856,0.8979676000000001,0.376,0.37540000000000007,-0.9347866607533418,21.50883562921111,0.8354340688430061,0.32923506384675905,0.0,1.647,1.199,0.424,1.641,1.081,0.381,3.0
108111.492188,17206.478386761028,0.898926,0.8998842,0.373,0.3738,-0.9162674675843685,21.417162381990174,0.8377440273864374,0.328597805817373,0.0,1.647,1.194,0.424,1.641,1.085,0.381,3.0
108661.398438,17293.998684685655,0.899811,0.9011416000000001,0.369,0.3726,-0.9041392244404955,21.348407446574473,0.8393088637188169,0.3280500183410887,0.0,1.648,1.21,0.424,1.641,1.094,0.381,3.0
109328.71875,17400.20601096608,0.905762,0.9019532,0.374,0.3708000000000001,-0.8963199256367553,21.24527504345093,0.8406544355948887,0.326832824093418,0.0,1.648,1.196,0.423,1.645,1.087,0.382,3.0
110004.28125,17507.7251222086,0.902649,0.9028016000000001,0.371,0.369,-0.8881535982090529,21.14214264032738,0.8420326654197579,0.3256251208501247,0.0,1.648,1.206,0.424,1.645,1.101,0.383,3.0
110554.585938,17595.308833510444,0.902618,0.9036988,0.367,0.36740000000000006,-0.8795258881636905,21.05046939310645,0.843389912403006,0.3245997177729674,0.0,1.647,1.206,0.424,1.641,1.097,0.383,3.0
111206.820313,17699.115158346147,0.903168,0.9035644,0.364,0.36400000000000005,-0.8808177681394547,20.85566374276197,0.8443630803833885,0.3216824729960207,0.0,1.648,1.206,0.424,1.641,1.096,0.383,3.0
111866.804688,17804.154933990812,0.904297,0.9043943999999999,0.361,0.3612,-0.8728427092984469,20.695235560125337,0.8460369231690448,0.3196103180218306,0.0,1.647,1.206,0.424,1.641,1.099,0.383,3.0
